ZipCode,City,NumMA,PerMA,NumWid,PerWid,NumNM,PerNM,NumDiv,PerDiv,totalpop,NumLoc,NumRes,NumEnt,NumPubl,NumRel,LocR1,LocR2,LocR3,LocR4,ResR1,ResR2,ResR3,ResR4,EntR1,EntR2,EntR3,EntR4,PublR1,PublR2,PublR3,PublR4
23502,Norfolk,1206,7.09,1351,7.94,6247,36.72,2085,12.25,10889,97,76,0,4,17,44,29,7,0,40,29,7,0,0,0,0,0,4,0,0,0
23503,Norfolk,1809,7.26,905,3.63,9790,39.31,3351,13.46,15855,40,24,0,7,9,7,12,6,6,6,6,6,6,0,0,0,0,1,6,0,0
23504,Norfolk,995,5.28,1267,6.73,11222,59.58,2279,12.1,15763,44,19,0,10,15,13,14,2,0,8,10,1,0,0,0,0,0,5,4,1,0
23505,Norfolk,1287,5.46,1284,5.45,8706,36.95,2439,10.35,13716,50,27,0,3,20,7,16,7,0,7,15,5,0,0,0,0,0,0,1,2,0
23507,Norfolk,194,3.63,229,4.28,2653,49.62,556,10.4,3632,12,2,1,0,9,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0
23508,Norfolk,3480,9.55,547,1.5,23906,65.59,2985,8.19,30918,39,28,0,2,9,17,13,0,0,16,12,0,0,0,0,0,0,1,1,0,0
23509,Norfolk,783,7.37,739,6.95,3890,36.61,1382,13.01,6794,25,13,0,2,10,12,3,0,0,11,2,0,0,0,0,0,0,1,1,0,0
23510,Norfolk,439,6.42,363,5.31,3863,56.51,713,10.43,5378,96,75,0,11,10,24,45,16,1,22,39,13,1,0,0,0,0,2,6,3,0
23511,Norfolk,165,6.75,6,0.25,1777,72.74,52,2.13,2000,3,3,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
23513,Norfolk,1845,7.99,1524,6.6,9469,41.01,3155,13.66,15993,31,19,0,2,10,12,9,0,0,12,7,0,0,0,0,0,0,0,2,0,0
23517,Norfolk,161,3.91,190,4.61,2121,51.46,538,13.05,3010,20,16,1,1,2,3,7,4,4,2,6,4,4,0,1,0,0,1,0,0,0
23518,Norfolk,1157,5.11,1411,6.23,7601,33.57,3216,14.2,13385,69,53,0,6,10,30,23,6,0,27,22,4,0,0,0,0,0,3,1,2,0
23523,Norfolk,471,8.21,406,7.07,2855,49.75,731,12.74,4463,19,4,0,6,9,6,4,0,0,4,0,0,0,0,0,0,0,2,4,0,0
